id,sk,cs,hu
51747,Stráž (okres Domažlice),Stráž (okres Domažlice),Stráž (Domažlicei járás)
51748,Stráž (okres Tachov),Stráž (okres Tachov),Stráž (Tachovi járás)
51749,Stráž,Stráž,Stráž (egyértelműsítő lap)
51750,Strážiště (okres Mladá Boleslav),Strážiště (okres Mladá Boleslav),Strážiště
51751,Strážnice (okres Hodonín),Strážnice (okres Hodonín),Strážnice (Hodoníni járás)
51752,Strážov (okres Klatovy),Strážov,Strážov (Klatovyi járás)
51753,Stuart Allen Roosa,Stuart Roosa,Stuart Allen Roosa
51754,Alžbeta Stuartová,Alžběta Stuartovna,Stuart Erzsébet cseh királyné
51755,Henrietta Anna Stuartová,Henrietta Anna Stuartovna,Stuart Henrietta Anna angol királyi hercegnő
51756,Stuartovci,Stuartovci,Stuart-ház
51757,Turčianske Teplice,Turčianske Teplice,Stubnyafürdő
51758,Turčianske Teplice (okres),Okres Turčianske Teplice,Stubnyafürdői járás
51759,Studenec (okres Semily),Studenec (okres Semily),Studenec (Semilyi járás)
51760,Studenec (okres Třebíč),Studenec (okres Třebíč),Studenec (Třebíči járás)
51761,Studená (okres Jindřichův Hradec),Studená (okres Jindřichův Hradec),Studená (Jindřichův Hradec-i járás)
51762,Studená,Studená,Studená (egyértelműsítő lap)
51763,Studená (okres Plzeň-sever),Studená (okres Plzeň-sever),Studená (Észak-plzeňi járás)
51764,Studené (okres Ústí nad Orlicí),Studené,Studené
51765,Studnice (okres Chrudim),Studnice (okres Chrudim),Studnice (Chrudimi járás)
51766,Studnice (okres Náchod),Studnice (okres Náchod),Studnice (Náchodi járás)
51767,Studnice (okres Třebíč),Studnice (okres Třebíč),Studnice (Třebíči járás)
51768,Studnice (okres Vyškov),Studnice (okres Vyškov),Studnice (Vyškovi járás)
51769,Studánka (okres Tachov),Studánka (okres Tachov),Studánka (Tachovi járás)
51770,Štukatúra,Štuk,Stukkó
51771,Stumm,Stumm (Tyrolsko),Stumm
51772,Stupava (okres Uherské Hradiště),Stupava,Stupava (Uherské Hradiště-i járás)
51773,Stupava (rozlišovacia stránka),Stupava (rozcestník),Stupava (egyértelműsítő lap)
51774,Sturgis (Južná Dakota),Sturgis (Jižní Dakota),Sturgis (Dél-Dakota)
51775,Sturmgewehr 44,StG 44,Sturmgewehr 44
51776,Sturmpanzer IV,Sturmpanzer IV Brummbär,Sturmpanzer IV Brummbär
51777,Sturmtiger,Sturmtiger,Sturmpanzer VI Sturmtiger
51778,Styx (hudobná skupina),Styx (hudební skupina),Styx (együttes)
51779,Styx (mesiac),Styx (měsíc),Styx (hold)
51780,Stáj (okres Jihlava),Stáj (okres Jihlava),Stáj
51781,Štajersko (spolková krajina),Štýrsko,Stájerország
51782,Stéphanie Cohenová-Alorová,Stéphanie Cohenová-Alorová,Stéphanie Cohen-Aloro
51783,Stéphanie Duboisová,Stéphanie Duboisová,Stéphanie Dubois
51784,Stéphanie Foretzová,Stéphanie Foretzová,Stéphanie Foretz Gacon
51785,Štóla,Štola (rozcestník),Stóla (egyértelműsítő lap)
51786,Štôla,Štôla,Stóla (település)
51787,Štós,Štós,Stósz
51788,Štúdiový album,Studiové album,Stúdióalbum
51789,Střelice (okres Brno-venkov),Střelice (okres Brno-venkov),Střelice (Brno-vidéki járás)
51790,Střelice (okres Plzeň-juh),Střelice (okres Plzeň-jih),Střelice (Dél-plzeňi járás)
51791,Střelice (okres Znojmo),Střelice (okres Znojmo),Střelice (Znojmói járás)
51792,Střelice,Střelice,Střelice (egyértelműsítő lap)
51793,Stříbrnice (okres Přerov),Stříbrnice (okres Přerov),Stříbrnice (Přerovi járás)
51794,Stříbrnice (okres Uherské Hradiště),Stříbrnice (okres Uherské Hradiště),Stříbrnice (Uherské Hradiště-i járás)
51795,Stříbrné Hory (okres Havlíčkův Brod),Stříbrné Hory (okres Havlíčkův Brod),Stříbrné Hory
51796,Stříbro,Stříbro (okres Tachov),Stříbro
51797,Střítež (okres Frýdek-Místek),Střítež (okres Frýdek-Místek),Střítež (Frýdek-místeki járás)
51798,Střítež (okres Jihlava),Střítež (okres Jihlava),Střítež (Jihlavai járás)
51799,Střítež (okres Pelhřimov),Střítež (okres Pelhřimov),Střítež (Pelhřimovi járás)
51800,Střítež (okres Třebíč),Střítež (okres Třebíč),Střítež (Třebíči járás)
51801,Střítež,Střítež,Střítež (egyértelműsítő lap)
51802,Střítež (okres Český Krumlov),Střítež (okres Český Krumlov),Střítež (Český Krumlov-i járás)
51803,Střítež (okres Žďár nad Sázavou),Střítež (okres Žďár nad Sázavou),Střítež (Žďár nad Sázavou-i járás)
51804,Střížkov (stanica pražského metra),Střížkov (stanice metra),Střížkov (metróállomás)
51805,Střížov,Střížov,Střížov (egyértelműsítő lap)
51806,Střížov (okres České Budějovice),Střížov (okres České Budějovice),Střížov (České Budějovice-i járás)
51807,Střížovice (okres Plzeň-juh),Střížovice (okres Plzeň-jih),Střížovice (Dél-plzeňi járás)
51808,Střížovice (okres Jindřichův Hradec),Střížovice (okres Jindřichův Hradec),Střížovice (Jindřichův Hradec-i járás)
51809,Střížovice (okres Kroměříž),Střížovice (okres Kroměříž),Střížovice (Kroměříži járás)
51810,Šu,Šu (bůh),Su
51811,Shu Qi,Shu Qi,Su Csi
51812,Šu-ťing,Šu-ťing,Su csing
51813,Subháš Kák,Subhash Kak,Subhash Kak
51814,Subway Restaurants,Subway,Subway
51815,Suceava (župa),Suceava (župa),Suceava megye
51816,Suchdol (okres Kutná Hora),Suchdol (okres Kutná Hora),Suchdol (Kutná Hora-i járás)
51817,Suchdol (okres Prostějov),Suchdol (okres Prostějov),Suchdol (Prostějovi járás)
51818,Suchdol,Suchdol,Suchdol (egyértelműsítő lap)
51819,Suchodol,Suchodol,Suchodol (Příbrami járás)
51820,Suchá (okres Jihlava),Suchá (okres Jihlava),Suchá (Jihlavai járás)
51821,Suchá,Suchá,Suchá (egyértelműsítő lap)
51822,Suchý (obec),Suchý,Suchý
51823,Sud-Aviation SE 210 Caravelle,Sud Aviation Caravelle,Sud Aviation Caravelle
51824,Suda,Suda,Suda (egyértelműsítő lap)
51825,Sudice (okres Blansko),Sudice (okres Blansko),Sudice (Blanskói járás)
51826,Sudice (okres Opava),Sudice (okres Opava),Sudice (Opavai járás)
51827,Sudice (okres Třebíč),Sudice (okres Třebíč),Sudice (Třebíči járás)
51828,Sudice,Sudice,Sudice (egyértelműsítő lap)
51829,Sudoměř,Sudoměř (okres Mladá Boleslav),Sudoměř
51830,Sudoměřice,Sudoměřice,Sudoměřice (Hodoníni járás)
51831,Suffolk (grófstvo),Suffolk,Suffolk
51832,Suffolk County,Suffolk County,Suffolk megye (egyértelműsítő lap)
51833,Mechúrniky,Láčkovci,Sugaras szimmetriájú állatok
51834,Lúčoplutvovce,Paprskoploutví,Sugarasúszójú halak
51835,Suger,Suger,Suger apát
51836,Choroba z ožiarenia,Akutní radiační syndrom,Sugárbetegség
51837,Prúdový motor,Proudový motor,Sugárhajtómű
51838,Prvosienka vyššia,Prvosenka vyšší,Sugárkankalin
51839,Rádioterapia,Radioterapie,Sugárkezelés
51840,Mrežovce,Mřížovci,Sugárállatkák
51841,Allianz Suisse Open Gstaad,Swiss Open (tenis),Suisse Open Gstaad
51842,Šuja,Šuja (okres Žilina),Suja (Szlovákia)
51843,Šujtáš,Sutaška,Sujtás
51844,Sukorady (okres Jičín),Sukorady (okres Jičín),Sukorady (Jičíni járás)
51845,Sukorady (okres Mladá Boleslav),Sukorady (okres Mladá Boleslav),Sukorady (Mladá Boleslav-i járás)
51846,Sully,Sully,Sully (egyértelműsítő lap)
51847,Sully-sur-Loire (obec),Sully-sur-Loire,Sully-sur-Loire
51848,Suluské more,Suluské moře,Sulu-tenger
51849,Šumen (mesto),Šumen,Sumen
51850,Sumeri,Sumer,Sumer
51851,Sumerský kráľovský zoznam,Sumerský královský seznam,Sumer királylista
51852,Sumerčina,Sumerština,Sumer nyelv
51853,Summer Glauová,Summer Glau,Summer Glau
51854,Sundance Film Festival,Sundance Film Festival,Sundance Filmfesztivál
51855,Sunita Williamsová,Sunita Williamsová,Sunita Lyn Williams
51856,Žltá SY,Žluť SY,Sunset Yellow FCF
51857,Sunshine (rozlišovacia stránka),Sunshine (rozcestník),Sunshine (egyértelműsítő lap)
51858,Suomenlinna,Suomenlinna,Suomenlinna erődítménye
51859,Super Mario,Super Mario,Super Mario (sorozat)
51860,Dassault-Breguet Super Étendard,Dassault Super Étendard,Super Étendard
51861,Supergirl (seriál),Supergirl (seriál),Supergirl (televíziós sorozat)
51862,Superskupina,Superskupina (hudba),Supergroup
51863,Superman (postava),Superman,Superman
51864,Supínum,Supinum,Supinum
51865,Šuriken,Šuriken,Suriken
51866,Surin,Surin,Surin (egyértelműsítő lap)
51867,Surinam,Surinam,Suriname
51868,Vlajka Surinamu,Surinamská vlajka,Suriname zászlaja
51869,Surinamské národné futbalové mužstvo,Surinamská fotbalová reprezentace,Suriname-i labdarúgó-válogatott
51870,Surrey (Anglicko),Surrey,Surrey
51871,Program Surveyor,Program Surveyor,Surveyor-program
51872,Surveyor 1,Surveyor 1,Surveyor-1
51873,Surveyor 3,Surveyor 3,Surveyor-3
51874,Survivor,Survivor (hudební skupina),Survivor (együttes)
51875,Šurianky,Šurianky,Surányka
51876,Sus (rod),Prase,Sus
51877,Sus,Sus,Sus (egyértelműsítő lap)
51878,Susa,Susa (rozcestník),Susa (egyértelműsítő lap)
51879,Susan Brownell Anthonyová,Susan B. Anthony,Susan B. Anthony
51880,Susan Hayward,Susan Haywardová,Susan Hayward
51881,Susan Helmsová,Susan Helmsová,Susan Helms
51882,Susan Sarandonová,Susan Sarandonová,Susan Sarandon
51883,Susan Sontagová,Susan Sontagová,Susan Sontag
51884,Ovčí mat,Ovčácký mat,Susztermatt
51885,Sušany,Sušany (okres Poltár),Susány
51886,Národný park Sutjeska,Národní park Sutjeska,Sutjeska Nemzeti Park
51887,Šútovo,Šútovo,Sutó
51888,Suzanne Collinsová,Suzanne Collinsová,Suzanne Collins
51889,Sušice,Sušice,Sušice (Klatovyi járás)
51890,Sušice (okres Přerov),Sušice (okres Přerov),Sušice (Přerovi járás)
51891,Sušice (okres Uherské Hradiště),Sušice (okres Uherské Hradiště),Sušice (Uherské Hradiště-i járás)
51892,Sušice (rozlišovacia stránka),Sušice (rozcestník),Sušice (egyértelműsítő lap)
51893,Svante August Arrhenius,Svante Arrhenius,Svante August Arrhenius
51894,Svatava,Svatava,Svatava (egyértelműsítő lap)
51895,Svatava (okres Sokolov),Svatava (okres Sokolov),Svatava (település)
51896,Svatoslav (okres Brno-venkov),Svatoslav (okres Brno-venkov),Svatoslav (Brno-vidéki járás)
51897,Svatoslav (okres Třebíč),Svatoslav (okres Třebíč),Svatoslav (Třebíči járás)
51898,Svatoslav,Svatoslav,Svatoslav (egyértelműsítő lap)
51899,Svatá (okres Beroun),Svatá (okres Beroun),Svatá
51900,Svaté Pole (obec),Svaté Pole,Svaté Pole
51901,Svatý Jan (okres Příbram),Svatý Jan (okres Příbram),Svatý Jan (Příbrami járás)
51902,Svatý Jiří (okres Ústí nad Orlicí),Svatý Jiří (okres Ústí nad Orlicí),Svatý Jiří
51903,Svatý Mikuláš (okres Kutná Hora),Svatý Mikuláš (okres Kutná Hora),Svatý Mikuláš
51904,Švecov M-11,Švecov M-11,Svecov M-11
51905,Švedlár,Švedlár,Svedlér
51906,Sven Tumba Johansson,Sven Tumba Johansson,Sven Tumba
51907,Sven Nykvist,Sven Nykvist,Sven Vilhem Nykvist
51908,Sveti Rok (Lovinac),Sveti Rok,Sveti Rok (Lovinac)
51909,Tunel Sveti Rok,Tunel Sveti Rok,Sveti Rok-alagút
51910,Svinesundsbron,Svinesundský most,Svinesund-híd
51911,Sviny (okres Tábor),Sviny (okres Tábor),Sviny (Tábori járás)
51912,Sviny,Sviny,Sviny (egyértelműsítő lap)
51913,Sviny (okres Žďár nad Sázavou),Sviny (okres Žďár nad Sázavou),Sviny (Žďár nad Sázavou-i járás)
51914,Okres Svitavy,Okres Svitavy,Svitavyi járás
51915,Svitávka (okres Blansko),Svitávka (okres Blansko),Svitávka
51916,Svojkovice (okres Jihlava),Svojkovice (okres Jihlava),Svojkovice (Jihlavai járás)
51917,Svojkovice (okres Rokycany),Svojkovice (okres Rokycany),Svojkovice (Rokycanyi járás)
51918,Svojkovice,Svojkovice,Svojkovice (egyértelműsítő lap)
51919,Svojšice (okres Kolín),Svojšice (okres Kolín),Svojšice (Kolíni járás)
51920,Svojšice (okres Pardubice),Svojšice (okres Pardubice),Svojšice (Pardubicei járás)
51921,Svojšice (okres Příbram),Svojšice (okres Příbram),Svojšice (Příbrami járás)
51922,Svojšice,Svojšice,Svojšice (egyértelműsítő lap)
51923,Svor (okres Česká Lípa),Svor (okres Česká Lípa),Svor
51924,Svratka,Svratka (rozcestník),Svratka (egyértelműsítő lap)
51925,Svratka (rieka),Svratka,Svratka (folyó)
51926,Svratka (okres Žďár nad Sázavou),Svratka (okres Žďár nad Sázavou),Svratka (Žďár nad Sázavou-i járás)
51927,Dolná Ves,Dolná Ves,Sváb (település)
51928,Švábovce,Švábovce,Svábfalva
51929,Švábsko,Švábsko,Svábföld
51930,Švajčiarsko,Švýcarsko,Svájc
51931,Zoznam prezidentov Švajčiarska,Seznam prezidentů Švýcarska,Svájc elnökeinek listája
51932,Geografia Švajčiarska,Geografie Švýcarska,Svájc földrajza
51933,Schweizerpsalm,Švýcarská hymna,Svájc himnusza
51934,Kantón (Švajčiarsko),Administrativní dělení Švýcarska,Svájc kantonjainak listája
51935,Dejiny Švajčiarska,Dějiny Švýcarska,Svájc történelme
51936,Zoznam miest vo Švajčiarsku,Seznam měst ve Švýcarsku,Svájc városai
51937,Vlajka Švajčiarska,Švýcarská vlajka,Svájc zászlaja
51938,Švajčiarska garda,Švýcarská garda,Svájci Gárda
51939,Švajčiarske vzdušné sily,Švýcarské vzdušné síly,Svájci Légierő
51940,SBB-CFF-FFS,Švýcarské spolkové dráhy,Svájci Szövetségi Vasutak
51941,Švajčiarsky frank,Švýcarský frank,Svájci frank
51942,Švajčiarske národné hokejové mužstvo,Švýcarská hokejová reprezentace,Svájci férfi jégkorong-válogatott
51943,Švajčiarske národné hádzanárske mužstvo,Švýcarská mužská házenkářská reprezentace,Svájci férfi kézilabda-válogatott
51944,Švajčiarska superliga,Švýcarská Super League,Svájci labdarúgó-bajnokság (első osztály)
51945,Švajčiarske národné futbalové mužstvo,Švýcarská fotbalová reprezentace,Svájci labdarúgó-válogatott
51946,Švajčiarska nemčina,Švýcarská němčina,Svájci német nyelv
51947,Švajčiarsky systém,Švýcarský systém,Svájci rendszerű verseny
51948,Zoznam najväčších jazier vo Švajčiarsku,Seznam jezer ve Švýcarsku,Svájci tavak listája
51949,Svárov (okres Kladno),Svárov (okres Kladno),Svárov (Kladnói járás)
51950,Svárov (okres Uherské Hradiště),Svárov (okres Uherské Hradiště),Svárov (Uherské Hradiště-i járás)
51951,Svárov,Svárov,Svárov (egyértelműsítő lap)
51952,Svätý Kríž,Svatý Kříž (rozcestník),Svätý Kríž (egyértelműsítő lap)
51953,Švédska cirkev,Švédská církev,Svéd Egyház
51954,Kráľovská švédska akadémia vied,Královská švédská akademie věd,Svéd Királyi Tudományos Akadémia
51955,Švédska Wikipédia,Švédská Wikipedie,Svéd Wikipédia
51956,Švédske národné hokejové mužstvo,Švédská hokejová reprezentace,Svéd férfi jégkorong-válogatott
51957,Švédske národné hádzanárske mužstvo,Švédská mužská házenkářská reprezentace,Svéd férfi kézilabda-válogatott
51958,Svenska hockeyligan,Svenska hockeyligan,Svéd jégkorongbajnokság
51959,Švédska koruna,Švédská koruna,Svéd korona
51960,Švédske národné futbalové mužstvo,Švédská fotbalová reprezentace,Svéd labdarúgó-válogatott
51961,Švédčina,Švédština,Svéd nyelv
51962,Švédske národné ženské futbalové družstvo,Švédská ženská fotbalová reprezentace,Svéd női labdarúgó-válogatott
51963,Švédi,Švédové,Svédek
51964,Švédska masáž,Švédská masáž,Svédmasszázs
51965,Švédsko,Švédsko,Svédország
51966,Švédska sociálnodemokratická strana,Sociální demokraté (Švédsko),Svédország Szociáldemokrata Munkáspártja
51967,Štátny znak Švédska,Státní znak Švédska,Svédország címere
51968,Provincia (Švédsko),Administrativní dělení Švédska,Svédország megyéi
51969,ISO 3166-2:SE,SE,Svédország megyéinek ISO-kódja
51970,Zoznam jazier vo Švédsku,Seznam jezer ve Švédsku,Svédország tavainak listája
51971,Dejiny Švédska,Dějiny Švédska,Svédország történelme
51972,Zoznam kráľov Švédska,Seznam švédských králů,Svédország uralkodóinak listája
51973,Vlajka Švédska,Švédská vlajka,Svédország zászlaja
51974,Švédski demokrati,Švédští demokraté,Svédországi Demokraták
51975,Svídnice (okres Chrudim),Svídnice (okres Chrudim),Svídnice (Chrudimi járás)
51976,Svídnice (okres Rychnov nad Kněžnou),Svídnice (okres Rychnov nad Kněžnou),Svídnice (Rychnov nad Kněžnou-i járás)
51977,Svídnice,Svídnice,Svídnice (egyértelműsítő lap)
51978,Světec (okres Teplice),Světec (okres Teplice),Světec
51979,Světlá,Světlá,Světlá (Blanskói járás)
51980,Světlík,Světlík,Světlík (egyértelműsítő lap)
51981,Světlík (okres Český Krumlov),Světlík (okres Český Krumlov),Světlík (Český Krumlov-i járás)
51982,Swansea,Swansea,Swansea (Wales)
51983,Swansea City,Swansea City AFC,Swansea City AFC
51984,Catella Swedish Open,Swedish Open,Swedish Open
51985,The Sweet,Sweet,Sweet
51986,Swift,Swift (programovací jazyk),Swift (programozási nyelv)
51987,Swiss Cottage (stanica metra),Swiss Cottage (stanice metra v Londýně),Swiss Cottage metróállomás
51988,Davidoff Swiss Indoors,Swiss Indoors,Swiss Indoors
51989,Prepínač (prvok počítačovej siete),Síťový přepínač,Switch (informatika)
51990,Sybille Bammerová,Sybille Bammerová,Sybille Bammer
51991,Sychrov (okres Liberec),Sychrov (okres Liberec),Sychrov (Libereci járás)
51992,Sychrov,Sychrov,Sychrov (egyértelműsítő lap)
51993,Južné Dánsko,Syddanmark,Syddanmark régió
51994,Sydney (Nové Škótsko),Sydney (Nové Skotsko),Sydney (Új-Skócia)
51995,Sydney Harbour Bridge,Harbour Bridge,Sydney Harbour Bridge
51996,Letisko Sydney,Letiště Sydney,Sydney repülőtér
51997,Sydney Opera House,Opera v Sydney,Sydney-i Operaház
51998,Sykesova-Picotova dohoda,Sykesova-Picotova dohoda,Sykes-Picot-egyezmény
51999,Sylvestrova postupnosť,Sylvesterova posloupnost,Sylvester-sorozat
52000,Sylvia Plathová,Sylvia Plathová,Sylvia Plath
52001,Symbian,Symbian OS,Symbian
52002,Symptom of the Universe: The Original Black Sabbath 1970-1978," The Original Black Sabbath 1970-1978"," The Original Black Sabbath 1970-1978"
52003,Synalov (okres Brno-venkov),Synalov,Synalov
